LDAP-Display-Name	Default-Object-Category	
dITContentRules	0	
division	0	
dMDLocation	0	
dmdName	0	
dNReferenceUpdate	0	
dnsAllowDynamic	0	
dnsAllowXFR	0	
dNSHostName	0	
dnsNotifySecondaries	0	
dNSProperty	0	
dnsRecord	0	
dnsRoot	0	
dnsSecureSecondaries	0	
dNSTombstoned	0	
documentAuthor	0	
documentIdentifier	0	
documentLocation	0	
documentPublisher	0	
documentTitle	0	
documentVersion	0	
domainCAs	0	
dc	0	
domainCrossRef	0	
domainID	0	
domainIdentifier	0	
domainPolicyObject	0	
domainPolicyReference	0	
domainReplica	0	
domainWidePolicy	0	
drink	0	
driverName	0	
driverVersion	0	
dSCorePropagationData	0	
dSHeuristics	0	
dSUIAdminMaximum	0	
dSUIAdminNotification	0	
dSUIShellMaximum	0	
dSASignature	0	
dynamicLDAPServer	0	
mail	0	
eFSPolicy	0	
employeeID	0	
employeeNumber	0	
employeeType	0	
Enabled	0	
enabledConnection	0	
enrollmentProviders	0	
entryTTL	0	
extendedAttributeInfo	0	
extendedCharsAllowed	0	
extendedClassInfo	0	
extensionName	0	
extraColumns	0	
facsimileTelephoneNumber	0	
fileExtPriority	0	
flags	0	
flatName	0	
forceLogoff	0	
foreignIdentifier	0	
friendlyNames	0	
fromEntry	0	
fromServer	0	
frsComputerReference	0	
frsComputerReferenceBL	0	
fRSControlDataCreation	0	
fRSControlInboundBacklog	0	
fRSControlOutboundBacklog	0	
fRSDirectoryFilter	0	
fRSDSPoll	0	
fRSExtensions	0	
fRSFaultCondition	0	
fRSFileFilter	0	
fRSFlags	0	
fRSLevelLimit	0	
fRSMemberReference	0	
fRSMemberReferenceBL	0	
fRSPartnerAuthLevel	0	
fRSPrimaryMember	0	
fRSReplicaSetGUID	0	
fRSReplicaSetType	0	
fRSRootPath	0	
fRSRootSecurity	0	
fRSServiceCommand	0	
fRSServiceCommandStatus	0	
fRSStagingPath	0	
fRSTimeLastCommand	0	
fRSTimeLastConfigChange	0	
fRSUpdateTimeout	0	
fRSVersion	0	
fRSVersionGUID	0	
fRSWorkingPath	0	
fSMORoleOwner	0	
garbageCollPeriod	0	
generatedConnection	0	
generationQualifier	0	
givenName	0	
globalAddressList	0	
governsID	0	
gPLink	0	
gPOptions	0	
gPCFileSysPath	0	
gPCFunctionalityVersion	0	
gPCMachineExtensionNames	0	
gPCUserExtensionNames	0	
gPCWQLFilter	0	
groupAttributes	0	
groupMembershipSAM	0	
groupPriority	0	
groupType	0	
groupsToIgnore	0	
hasMasterNCs	0	
hasPartialReplicaNCs	0	
helpData16	0	
helpData32	0	
helpFileName	0	
hideFromAB	0	
homeDirectory	0	
homeDrive	0	
houseIdentifier	0	
host	0	
iconPath	0	
implementedCategories	0	
indexedScopes	0	
initialAuthIncoming	0	
initialAuthOutgoing	0	
initials	0	
installUiLevel	0	
instanceType	0	
interSiteTopologyFailover	0	
interSiteTopologyGenerator	0	
interSiteTopologyRenew	0	
internationalISDNNumber	0	
invocationId	0	
ipsecData	0	
ipsecDataType	0	
ipsecFilterReference	0	
ipsecID	0	
ipsecISAKMPReference	0	
ipsecName	0	
iPSECNegotiationPolicyAction	0	
ipsecNegotiationPolicyReference	0	
iPSECNegotiationPolicyType	0	
ipsecNFAReference	0	
ipsecOwnersReference	0	
ipsecPolicyReference	0	
isCriticalSystemObject	0	
isDefunct	0	
isDeleted	0	
isEphemeral	0	
memberOf	0	
isMemberOfPartialAttributeSet	0	
isPrivilegeHolder	0	
isRecycled	0	
isSingleValued	0	
jpegPhoto	0	
keywords	0	
knowledgeInformation	0	
labeledURI	0	
lastBackupRestorationTime	0	
lastContentIndexed	0	
lastKnownParent	0	
lastLogoff	0	
lastLogon	0	
lastLogonTimestamp	0	
lastSetTime	0	
lastUpdateSequence	0	
lDAPAdminLimits	0	
lDAPDisplayName	0	
lDAPIPDenyList	0	
legacyExchangeDN	0	
linkID	0	
linkTrackSecret	0	
lmPwdHistory	0	
localPolicyFlags	0	
localPolicyReference	0	
localeID	0	
l	0	
localizedDescription	0	
localizationDisplayId	0	
location	0	
lockOutObservationWindow	0	
lockoutDuration	0	
lockoutThreshold	0	
lockoutTime	0	
thumbnailLogo	0	
logonCount	0	
logonHours	0	
logonWorkstation	0	
lSACreationTime	0	
lSAModifiedCount	0	
machineArchitecture	0	
machinePasswordChangeInterval	0	
machineRole	0	
machineWidePolicy	0	
managedBy	0	
managedObjects	0	
manager	0	
mAPIID	0	
marshalledInterface	0	
masteredBy	0	
maxPwdAge	0	
maxRenewAge	0	
maxStorage	0	
maxTicketAge	0	
mayContain	0	
meetingAdvertiseScope	0	
meetingApplication	0	
meetingBandwidth	0	
meetingBlob	0	
meetingContactInfo	0	
meetingDescription	0	
meetingEndTime	0	
meetingID	0	
meetingIP	0	
meetingIsEncrypted	0	
meetingKeyword	0	
meetingLanguage	0	
meetingLocation	0	
meetingMaxParticipants	0	
meetingName	0	
meetingOriginator	0	
meetingOwner	0	
meetingProtocol	0	
meetingRating	0	
meetingRecurrence	0	
meetingScope	0	
meetingStartTime	0	
meetingType	0	
meetingURL	0	
member	0	
mhsORAddress	0	
minPwdAge	0	
minPwdLength	0	
minTicketAge	0	
modifiedCount	0	
modifiedCountAtLastProm	0	
modifyTimeStamp	0	
moniker	0	
monikerDisplayName	0	
moveTreeState	0	
msCOM-DefaultPartitionLink	0	
msCOM-ObjectId	0	
msCOM-PartitionLink	0	
msCOM-PartitionSetLink	0	
msCOM-UserLink	0	
msCOM-UserPartitionSetLink	0	
msDRM-IdentityCertificate	0	
msDS-AdditionalDnsHostName	0	
msDS-AdditionalSamAccountName	0	
msDS-AllUsersTrustQuota	0	
msDS-AllowedDNSSuffixes	0	
msDS-AllowedToDelegateTo	0	
msDS-Auxiliary-Classes	0	
msDS-Approx-Immed-Subordinates	0	
msDS-AuthenticatedAtDC	0	
msDS-AuthenticatedToAccountlist	0	
msDS-AzApplicationData	0	
msDS-AzApplicationName	0	
msDS-AzApplicationVersion	0	
msDS-AzBizRule	0	
msDS-AzBizRuleLanguage	0	
msDS-AzClassId	0	
msDS-AzDomainTimeout	0	
msDS-AzGenerateAudits	0	
msDS-AzLastImportedBizRulePath	0	
msDS-AzLDAPQuery	0	
msDS-AzMajorVersion	0	
msDS-AzMinorVersion	0	
msDS-AzOperationID	0	
msDS-AzScopeName	0	
msDS-AzScriptEngineCacheMax	0	
msDS-AzScriptTimeout	0	
msDS-AzTaskIsRoleDefinition	0	
msDS-AzObjectGuid	0	
msDS-AzGenericData	0	
msDS-Behavior-Version	0	
msDS-ByteArray	0	
msDS-Cached-Membership	0	
msDS-Cached-Membership-Time-Stamp	0	
mS-DS-ConsistencyGuid	0	
mS-DS-ConsistencyChildCount	0	
mS-DS-CreatorSID	0	
msDS-DateTime	0	
msDS-DefaultQuota	0	
msDS-DeletedObjectLifetime	0	
msDS-DnsRootAlias	0	
msDS-EnabledFeature	0	
msDS-EnabledFeatureBL	0	
msDS-Entry-Time-To-Die	0	
msDS-ExecuteScriptPassword	0	
msDS-ExternalKey	0	
msDS-ExternalStore	0	
msDS-OptionalFeatureGUID	0	
msDS-FilterContainers	0	
msDS-HasInstantiatedNCs	0	
msDS-HasDomainNCs	0	
msDS-hasMasterNCs	0	
msDS-HostServiceAccount	0	
msDS-HostServiceAccountBL	0	
msDS-Integer	0	
msDS-IntId	0	
msDS-isGC	0	
msDS-isRODC	0	
msDS-LastKnownRDN	0	
msDS-KeyVersionNumber	0	
msDS-LogonTimeSyncInterval	0	
msDs-masteredBy	0	
msDS-MaximumPasswordAge	0	
msDS-MinimumPasswordAge	0	
msDS-MinimumPasswordLength	0	
msDS-OIDToGroupLink	0	
msDS-OIDToGroupLinkBl	0	
msDS-PasswordHistoryLength	0	
msDS-PasswordComplexityEnabled	0	
msDS-PasswordReversibleEncryptionEnabled	0	
msDS-LocalEffectiveDeletionTime	0	
msDS-LocalEffectiveRecycleTime	0	
msDS-LockoutObservationWindow	0	
msDS-LockoutDuration	0	
msDS-LockoutThreshold	0	
msDS-PSOAppliesTo	0	
msDS-PSOApplied	0	
msDS-RequiredDomainBehaviorVersion	0	
msDS-RequiredForestBehaviorVersion	0	
msDS-ResultantPSO	0	
msDS-PasswordSettingsPrecedence	0	
msDs-MaxValues	0	
msDS-MembersForAzRole	0	
msDS-MembersForAzRoleBL	0	
msDS-NcType	0	
msDS-NonMembers	0	
msDS-NonMembersBL	0	
msDS-PhoneticFirstName	0	
msDS-PhoneticLastName	0	
msDS-PhoneticDepartment	0	
msDS-PhoneticCompanyName	0	
msDS-PhoneticDisplayName	0	
msDS-HABSeniorityIndex	0	
msDS-PromotionSettings	0	
msDS-SiteName	0	
msDS-SupportedEncryptionTypes	0	
msDS-TrustForestTrustInfo	0	
msDS-TombstoneQuotaFactor	0	
msDS-TopQuotaUsage	0	
ms-DS-MachineAccountQuota	0	
msDS-ObjectReference	0	
msDS-ObjectReferenceBL	0	
msDS-OperationsForAzRole	0	
msDS-OperationsForAzRoleBL	0	
msDS-OperationsForAzTask	0	
msDS-OperationsForAzTaskBL	0	
msDS-Other-Settings	0	
msDS-PrincipalName	0	
msDS-QuotaAmount	0	
msDS-QuotaEffective	0	
msDS-QuotaTrustee	0	
msDS-QuotaUsed	0	
msDS-NCReplCursors	0	
msDS-NCReplInboundNeighbors	0	
msDS-NCReplOutboundNeighbors	0	
msDS-NC-Replica-Locations	0	
msDS-NC-RO-Replica-Locations	0	
msDS-NC-RO-Replica-Locations-BL	0	
msDS-Non-Security-Group-Extra-Classes	0	
msDS-PerUserTrustQuota	0	
msDS-PerUserTrustTombstonesQuota	0	
msDS-Preferred-GC-Site	0	
msDS-ReplAttributeMetaData	0	
msDS-ReplValueMetaData	0	
mS-DS-ReplicatesNCReason	0	
msDS-Replication-Notify-First-DSA-Delay	0	
msDS-Replication-Notify-Subsequent-DSA-Delay	0	
msDS-ReplicationEpoch	0	
msDS-RetiredReplNCSignatures	0	
msDs-Schema-Extensions	0	
msDS-SDReferenceDomain	0	
msDS-Security-Group-Extra-Classes	0	
msDS-Settings	0	
msDS-Site-Affinity	0	
msDS-SPNSuffixes	0	
msDS-TasksForAzRole	0	
msDS-TasksForAzRoleBL	0	
msDS-TasksForAzTask	0	
msDS-TasksForAzTaskBL	0	
msDS-User-Account-Control-Computed	0	
msDS-UserPasswordExpiryTimeComputed	0	
msDS-UpdateScript	0	
msDS-SourceObjectDN	0	
msDS-KrbTgtLink	0	
msDS-RevealedUsers	0	
msDS-hasFullReplicaNCs	0	
msDS-NeverRevealGroup	0	
msDS-RevealOnDemandGroup	0	
msDS-SecondaryKrbTgtNumber	0	
msDS-RevealedDSAs	0	
msDS-KrbTgtLinkBl	0	
msDS-IsFullReplicaFor	0	
msDS-IsDomainFor	0	
msDS-IsPartialReplicaFor	0	
msDS-IsUserCachableAtRodc	0	
msDS-RevealedList	0	
msDS-RevealedListBL	0	
msDS-LastSuccessfulInteractiveLogonTime	0	
msDS-LastFailedInteractiveLogonTime	0	
msDS-FailedInteractiveLogonCount	0	
msDS-FailedInteractiveLogonCountAtLastSuccessfulLogon	0	
msDS-USNLastSyncSuccess	0	
msDS-OptionalFeatureFlags	0	
msExchAssistantName	0	
msExchHouseIdentifier	0	
msExchLabeledURI	0	
ownerBL	0	
msFRS-Hub-Member	0	
msFRS-Topology-Pref	0	
msDFSR-Version	0	
msDFSR-Extension	0	
msDFSR-RootPath	0	
msDFSR-RootSizeInMb	0	
msDFSR-StagingPath	0	
msDFSR-StagingSizeInMb	0	
msDFSR-ConflictPath	0	
msDFSR-ConflictSizeInMb	0	
msDFSR-Enabled	0	
msDFSR-ReplicationGroupType	0	
msDFSR-TombstoneExpiryInMin	0	
msDFSR-FileFilter	0	
msDFSR-DirectoryFilter	0	
msDFSR-Schedule	0	
msDFSR-Keywords	0	
msDFSR-Flags	0	
msDFSR-Options	0	
msDFSR-ContentSetGuid	0	
msDFSR-RdcEnabled	0	
msDFSR-RdcMinFileSizeInKb	0	
msDFSR-DfsPath	0	
msDFSR-RootFence	0	
msDFSR-ReplicationGroupGuid	0	
msDFSR-DfsLinkTarget	0	
msDFSR-MemberReference	0	
msDFSR-ComputerReference	0	
msDFSR-MemberReferenceBL	0	
msDFSR-ComputerReferenceBL	0	
msDFSR-Priority	0	
msDFSR-DeletedPath	0	
msDFSR-DeletedSizeInMb	0	
msDFSR-ReadOnly	0	
msDFSR-CachePolicy	0	
msDFSR-MinDurationCacheInMin	0	
msDFSR-MaxAgeInCacheInMin	0	
msFVE-RecoveryPassword	0	
msFVE-VolumeGuid	0	
msFVE-KeyPackage	0	
msFVE-RecoveryGuid	0	
msTPM-OwnerInformation	0	
msieee80211-Data	0	
msieee80211-DataType	0	
msieee80211-ID	0	
msIIS-FTPDir	0	
msIIS-FTPRoot	0	
msImaging-PSPIdentifier	0	
msImaging-PSPString	0	
ms-net-ieee-80211-GP-PolicyGUID	0	
ms-net-ieee-80211-GP-PolicyData	0	
ms-net-ieee-80211-GP-PolicyReserved	0	
ms-net-ieee-8023-GP-PolicyGUID	0	
ms-net-ieee-8023-GP-PolicyData	0	
ms-net-ieee-8023-GP-PolicyReserved	0	
msPKI-Cert-Template-OID	0	
msPKI-Certificate-Application-Policy	0	
msPKI-Certificate-Name-Flag	0	
msPKI-Certificate-Policy	0	
msPKI-CredentialRoamingTokens	0	
msPKI-Enrollment-Flag	0	
msPKI-Enrollment-Servers	0	
msPKI-Minimal-Key-Size	0	
msPKI-OID-Attribute	0	
msPKI-OID-CPS	0	
msPKI-OIDLocalizedName	0	
msPKI-OID-User-Notice	0	
msPKI-Private-Key-Flag	0	
msPKI-Site-Name	0	
msPKI-Supersede-Templates	0	
msPKI-Template-Minor-Revision	0	
msPKI-Template-Schema-Version	0	
msPKI-RA-Application-Policies	0	
msPKI-RA-Policies	0	
msPKI-RA-Signature	0	
msPKIRoamingTimeStamp	0	
msPKIDPAPIMasterKeys	0	
msPKIAccountCredentials	0	
msRRASAttribute	0	
msRRASVendorAttributeEntry	0	
msRADIUS-FramedInterfaceId	0	
msRADIUS-SavedFramedInterfaceId	0	
msRADIUS-FramedIpv6Prefix	0	
msRADIUS-SavedFramedIpv6Prefix	0	
msRADIUS-FramedIpv6Route	0	
msRADIUS-SavedFramedIpv6Route	0	
mS-SQL-Name	0	
mS-SQL-RegisteredOwner	0	
mS-SQL-Contact	0	
mS-SQL-Location	0	
mS-SQL-Memory	0	
mS-SQL-Build	0	
mS-SQL-ServiceAccount	0	
mS-SQL-CharacterSet	0	
mS-SQL-SortOrder	0	
mS-SQL-UnicodeSortOrder	0	
mS-SQL-Clustered	0	
mS-SQL-NamedPipe	0	
mS-SQL-MultiProtocol	0	
mS-SQL-SPX	0	
mS-SQL-TCPIP	0	
mS-SQL-AppleTalk	0	
mS-SQL-Vines	0	
mS-SQL-Status	0	
mS-SQL-LastUpdatedDate	0	
mS-SQL-InformationURL	0	
mS-SQL-ConnectionURL	0	
mS-SQL-PublicationURL	0	
mS-SQL-GPSLatitude	0	
mS-SQL-GPSLongitude	0	
mS-SQL-GPSHeight	0	
mS-SQL-Version	0	
mS-SQL-Language	0	
mS-SQL-Description	0	
mS-SQL-Type	0	
mS-SQL-InformationDirectory	0	
mS-SQL-Database	0	
mS-SQL-AllowAnonymousSubscription	0	
mS-SQL-Alias	0	
mS-SQL-Size	0	
mS-SQL-CreationDate	0	
mS-SQL-LastBackupDate	0	
mS-SQL-LastDiagnosticDate	0	
mS-SQL-Applications	0	
mS-SQL-Keywords	0	
mS-SQL-Publisher	0	
mS-SQL-AllowKnownPullSubscription	0	
mS-SQL-AllowImmediateUpdatingSubscription	0	
mS-SQL-AllowQueuedUpdatingSubscription	0	
mS-SQL-AllowSnapshotFilesFTPDownloading	0	
mS-SQL-ThirdParty	0	
msTAPI-ConferenceBlob	0	
msTAPI-IpAddress	0	
msTAPI-ProtocolId	0	
msTAPI-uid	0	
msWMI-Author	0	
msWMI-ChangeDate	0	
msWMI-Class	0	
msWMI-ClassDefinition	0	
msWMI-CreationDate	0	
msWMI-Genus	0	
msWMI-ID	0	
msWMI-IntDefault	0	
msWMI-intFlags1	0	
msWMI-intFlags2	0	
msWMI-intFlags3	0	
msWMI-intFlags4	0	
msWMI-IntMax	0	
msWMI-IntMin	0	
msWMI-IntValidValues	0	
msWMI-Int8Default	0	
msWMI-Int8Max	0	
msWMI-Int8Min	0	
msWMI-Int8ValidValues	0	
msWMI-Mof	0	
msWMI-Name	0	
msWMI-NormalizedClass	0	
msWMI-Parm1	0	
msWMI-Parm2	0	
msWMI-Parm3	0	
msWMI-Parm4	0	
msWMI-PropertyName	0	
msWMI-Query	0	
msWMI-QueryLanguage	0	
msWMI-ScopeGuid	0	
msWMI-SourceOrganization	0	
msWMI-StringDefault	0	
msWMI-StringValidValues	0	
msWMI-TargetClass	0	
msWMI-TargetNameSpace	0	
msWMI-TargetObject	0	
msWMI-TargetPath	0	
msWMI-TargetType	0	
mscopeId	0	
msiFileList	0	
msiScript	0	
msiScriptName	0	
msiScriptPath	0	
msiScriptSize	0	
mSMQAuthenticate	0	
mSMQBasePriority	0	
mSMQComputerType	0	
mSMQComputerTypeEx	0	
mSMQCost	0	
mSMQCSPName	0	
mSMQDependentClientService	0	
mSMQDependentClientServices	0	
mSMQDigests	0	
mSMQDigestsMig	0	
mSMQDsService	0	
mSMQDsServices	0	
mSMQEncryptKey	0	
mSMQForeign	0	
mSMQInRoutingServers	0	
mSMQInterval1	0	
mSMQInterval2	0	
mSMQJournal	0	
mSMQJournalQuota	0	
mSMQLabel	0	
mSMQLabelEx	0	
mSMQLongLived	0	
mSMQMigrated	0	
MSMQ-MulticastAddress	0	
mSMQNameStyle	0	
mSMQNt4Flags	0	
mSMQNt4Stub	0	
mSMQOSType	0	
mSMQOutRoutingServers	0	
mSMQOwnerID	0	
mSMQPrevSiteGates	0	
mSMQPrivacyLevel	0	
mSMQQMID	0	
mSMQQueueJournalQuota	0	
mSMQQueueNameExt	0	
mSMQQueueQuota	0	
mSMQQueueType	0	
mSMQQuota	0	
msMQ-Recipient-FormatName	0	
mSMQRoutingService	0	
mSMQRoutingServices	0	
MSMQ-SecuredSource	0	
mSMQServiceType	0	
mSMQServices	0	
mSMQSignCertificates	0	
mSMQSignCertificatesMig	0	
mSMQSignKey	0	
mSMQSite1	0	
mSMQSite2	0	
mSMQSiteForeign	0	
mSMQSiteGates	0	
mSMQSiteGatesMig	0	
mSMQSiteID	0	
mSMQSiteName	0	
mSMQSiteNameEx	0	
mSMQSites	0	
mSMQTransactional	0	
mSMQUserSid	0	
mSMQVersion	0	
msNPAllowDialin	0	
msNPCalledStationID	0	
msNPCallingStationID	0	
msNPSavedCallingStationID	0	
msRADIUSCallbackNumber	0	
msRADIUSFramedIPAddress	0	
msRADIUSFramedRoute	0	
msRADIUSServiceType	0	
msRASSavedCallbackNumber	0	
msRASSavedFramedIPAddress	0	
msRASSavedFramedRoute	0	
mustContain	0	
nameServiceFlags	0	
nCName	0	
nETBIOSName	0	
netbootAllowNewClients	0	
netbootAnswerOnlyValidClients	0	
netbootAnswerRequests	0	
netbootCurrentClientCount	0	
netbootGUID	0	
netbootInitialization	0	
netbootIntelliMirrorOSes	0	
netbootLimitClients	0	
netbootLocallyInstalledOSes	0	
netbootMachineFilePath	0	
netbootMaxClients	0	
netbootMirrorDataFile	0	
netbootNewMachineNamingPolicy	0	
netbootNewMachineOU	0	
netbootSCPBL	0	
netbootServer	0	
netbootSIFFile	0	
netbootTools	0	
networkAddress	0	
nextLevelStore	0	
nextRid	0	
nonSecurityMember	0	
nonSecurityMemberBL	0	
notificationList	0	
nTGroupMembers	0	
nTMixedDomain	0	
ntPwdHistory	0	
nTSecurityDescriptor	0	
distinguishedName	0	
objectCategory	0	
objectClass	0	
objectClassCategory	0	
objectClasses	0	
objectCount	0	
objectGUID	0	
objectSid	0	
objectVersion	0	
oEMInformation	0	
oMObjectClass	0	
oMSyntax	0	
oMTGuid	0	
oMTIndxGuid	0	
operatingSystem	0	
operatingSystemHotfix	0	
operatingSystemServicePack	0	
operatingSystemVersion	0	
operatorCount	0	
optionDescription	0	
options	0	
optionsLocation	0	
o	0	
ou	0	
organizationalStatus	0	
originalDisplayTable	0	
originalDisplayTableMSDOS	0	
otherLoginWorkstations	0	
otherMailbox	0	
middleName	0	
otherWellKnownObjects	0	
owner	0	
packageFlags	0	
packageName	0	
packageType	0	
parentCA	0	
parentCACertificateChain	0	
parentGUID	0	
partialAttributeDeletionList	0	
partialAttributeSet	0	
pekKeyChangeInterval	0	
pekList	0	
pendingCACertificates	0	
pendingParentCA	0	
perMsgDialogDisplayTable	0	
perRecipDialogDisplayTable	0	
personalTitle	0	
otherFacsimileTelephoneNumber	0	
otherHomePhone	0	
homePhone	0	
otherIpPhone	0	
ipPhone	0	
primaryInternationalISDNNumber	0	
otherMobile	0	
mobile	0	
otherTelephone	0	
otherPager	0	
pager	0	
photo	0	
physicalDeliveryOfficeName	0	
physicalLocationObject	0	
thumbnailPhoto	0	
pKICriticalExtensions	0	
pKIDefaultCSPs	0	
pKIDefaultKeySpec	0	
pKIEnrollmentAccess	0	
pKIExpirationPeriod	0	
pKIExtendedKeyUsage	0	
pKIKeyUsage	0	
pKIMaxIssuingDepth	0	
pKIOverlapPeriod	0	
pKT	0	
pKTGuid	0	
policyReplicationFlags	0	
portName	0	
possSuperiors	0	
possibleInferiors	0	
postOfficeBox	0	
postalAddress	0	
postalCode	0	
preferredDeliveryMethod	0	
preferredLanguage	0	
preferredOU	0	
prefixMap	0	
presentationAddress	0	
previousCACertificates	0	
previousParentCA	0	
primaryGroupID	0	
primaryGroupToken	0	
printAttributes	0	
printBinNames	0	
printCollate	0	
printColor	0	
printDuplexSupported	0	
printEndTime	0	
printFormName	0	
printKeepPrintedJobs	0	
printLanguage	0	
printMACAddress	0	
printMaxCopies	0	
printMaxResolutionSupported	0	
printMaxXExtent	0	
printMaxYExtent	0	
printMediaReady	0	
printMediaSupported	0	
printMemory	0	
printMinXExtent	0	
printMinYExtent	0	
printNetworkAddress	0	
printNotify	0	
printNumberUp	0	
printOrientationsSupported	0	
printOwner	0	
printPagesPerMinute	0	
printRate	0	
printRateUnit	0	
printSeparatorFile	0	
printShareName	0	
printSpooling	0	
printStaplingSupported	0	
printStartTime	0	
printStatus	0	
printerName	0	
priorSetTime	0	
priorValue	0	
priority	0	
privateKey	0	
privilegeAttributes	0	
privilegeDisplayName	0	
privilegeHolder	0	
privilegeValue	0	
productCode	0	
profilePath	0	
proxiedObjectName	0	
proxyAddresses	0	
proxyGenerationEnabled	0	
proxyLifetime	0	
publicKeyPolicy	0	
purportedSearch	0	
pwdHistoryLength	0	
pwdLastSet	0	
pwdProperties	0	
qualityOfService	0	
queryFilter	0	
queryPolicyBL	0	
queryPolicyObject	0	
queryPoint	0	
rangeLower	0	
rangeUpper	0	
name	0	
rDNAttID	0	
registeredAddress	0	
remoteServerName	0	
remoteSource	0	
remoteSourceType	0	
remoteStorageGUID	0	
replPropertyMetaData	0	
replTopologyStayOfExecution	0	
replUpToDateVector	0	
replicaSource	0	
directReports	0	
replInterval	0	
repsFrom	0	
repsTo	0	
requiredCategories	0	
retiredReplDSASignatures	0	
tokenGroups	0	
tokenGroupsGlobalAndUniversal	0	
tokenGroupsNoGCAcceptable	0	
revision	0	
rid	0	
rIDAllocationPool	0	
rIDAvailablePool	0	
